Order_ID,Product,Category,Quantity,Price,Total_Amount,Date
1001,Cabbage - Green,Samsung,3,5325,15975,8/4/2024
1002,Onions - White,Nokia,1,4175,4175,11/9/2024
1003,Bread - Focaccia Quarter,Panasonic,3,5903,17709,5/12/2024
1004,"Pasta - Fettuccine, Egg, Fresh",Oppo,3,8088,24264,5/21/2024
1005,Allspice - Jamaican,Samsung,4,10119,40476,12/13/2024
1006,Pepper Squash,Realme,5,2179,10895,4/11/2024
1007,Soup - Campbells Chicken,LG,1,3397,3397,2/8/2025
1008,Cream - 18%,Yezz,5,5490,27450,5/20/2024
1009,Skirt - 29 Foot,Samsung,5,9647,48235,11/27/2024
1010,"Chicken - Breast, 5 - 7 Oz",verykool,1,5765,5765,6/14/2024
1011,Beer - Upper Canada Lager,Maxwest,1,6308,6308,4/19/2024
1012,Longos - Chicken Curried,LG,2,3770,7540,3/24/2024
1013,Watercress,HTC,4,7817,31268,12/29/2024
1014,"Flour - Bran, Red",Lenovo,5,5907,29535,6/21/2024
1015,Nantuket Peach Orange,Motorola,2,7835,15670,5/28/2024
1016,Wine - Red Oakridge Merlot,Motorola,4,5394,21576,5/21/2024
1017,Wine - Alsace Gewurztraminer,Oppo,5,6350,31750,10/22/2024
1018,Langers - Cranberry Cocktail,Samsung,3,4209,12627,1/28/2025
1019,Aromat Spice / Seasoning,LeEco,5,3109,15545,5/5/2024
1020,Sauce - Ranch Dressing,alcatel,5,10638,53190,8/6/2024
1021,Bonito Flakes - Toku Katsuo,verykool,5,7199,35995,12/16/2024
1022,Oneshot Automatic Soap System,alcatel,1,8057,8057,4/12/2024
1023,"Wine - Red, Antinori Santa",alcatel,4,5236,20944,8/24/2024
